Games Played      Average Cumulative Reward
-------------     -------------------------
0                 -49.10
10                -302.14
20                -268.32
30                9.34
40                -313.12
50                -18.72
60                -163.16
70                -360.86
80                -212.08
90                -147.48
100               -176.88
110               -326.56
120               -270.70
130               -333.00
140               -122.30
150               -234.46
160               -304.40
170               -304.08
180               -369.16
190               -262.56
200               -282.10
210               -200.70
220               -319.68
230               -530.40
240               -231.64
250               -234.96
260               -78.24
270               -166.96
280               -311.48
290               -289.18
300               -132.64
310               -281.62
320               -422.12
330               -239.80
340               -312.04
350               -336.28
360               -301.94
370               108.44
380               -218.20
390               -285.32
400               176.58
410               -166.02
420               -123.42
430               218.16
440               -211.24
450               -51.72
460               -133.28
470               -206.26
480               -379.10
490               -148.16
500               -465.22
510               -375.60
520               3.32
530               -191.44
540               93.82
550               43.38
560               -213.30
570               -305.94
580               38.94
590               -382.46
600               -14.54
610               -3.82
620               -330.84
630               57.44
640               -330.22
650               -297.68
660               -77.46
670               -219.16
680               189.02
690               -213.84
700               -425.46
710               -454.94
720               -113.36
730               0.22
740               -245.42
750               -77.80
760               -288.54
770               -140.82
780               -112.04
790               -141.12
800               -147.68
810               -166.40
820               -279.34
830               -97.90
840               -396.96
850               -328.72
860               -290.10
870               -179.16
880               -257.94
890               -276.90
900               -237.50
910               -64.02
920               -58.16
930               -138.82
940               -167.72
950               -221.88
960               -202.58
970               25.52
980               -241.06
990               -336.78
1000              -122.10
1010              -414.32
1020              -301.22
1030              -251.48
1040              -307.70
1050              -68.26
1060              -161.66
1070              -90.06
1080              -238.32
1090              -416.46
1100              -171.32
1110              -199.44
1120              -153.86
1130              18.18
1140              -120.10
1150              -351.20
1160              -163.76
1170              -198.68
1180              -237.02
1190              -151.84
1200              -144.18
1210              -290.26
1220              -115.10
1230              -176.76
1240              -410.04
1250              -65.10
1260              -245.46
1270              -425.04
1280              -95.10
1290              -292.80
1300              -381.36
1310              -168.26
1320              -39.02
1330              88.38
1340              -394.74
1350              -205.24
1360              -212.02
1370              -484.62
1380              -126.14
1390              -335.16
1400              -399.32
1410              -396.04
1420              -294.58
1430              -274.70
1440              -341.52
1450              85.80
1460              -135.06
1470              -275.98
1480              -113.62
1490              -150.12
1500              -65.46
1510              -211.06
1520              -93.24
1530              -331.62
1540              -37.74
1550              -342.84
1560              -255.56
1570              -391.76
1580              -190.40
1590              -187.94
1600              -362.64
1610              -275.76
1620              -214.60
1630              -176.12
1640              -225.78
1650              158.14
1660              -293.32
1670              -377.84
1680              -111.66
1690              -293.36
1700              -233.50
1710              -347.68
1720              -102.68
1730              -199.70
1740              -259.02
1750              -326.82
1760              -253.30
1770              -416.44
1780              -304.82
1790              -321.00
1800              -220.58
1810              -473.46
1820              -301.70
1830              -151.00
1840              22.08
1850              -116.00
1860              -351.54
1870              -273.36
1880              -260.30
1890              -7.90
1900              -216.70
1910              -314.00
1920              -243.86
1930              27.08
1940              -162.64
1950              -86.16
1960              -210.88
1970              -431.38
1980              -258.46
1990              -239.72
2000              73.86
2010              -94.14
2020              -449.18
2030              -390.50
2040              -321.70
2050              -336.12
2060              -84.78
2070              61.82
2080              -250.82
2090              -99.72
2100              -23.76
2110              -160.46
2120              -257.32
2130              -247.40
2140              -263.30
2150              -199.00
2160              -313.88
2170              -232.96
2180              -209.42
2190              -356.42
2200              -354.26
2210              -360.96
2220              -288.78
2230              -459.88
2240              -408.86
2250              -184.96
2260              68.60
2270              -90.16
2280              -184.00
2290              -91.26
2300              -308.08
2310              -418.94
2320              -218.06
2330              -54.66
2340              -192.30
2350              -452.22
2360              -350.72
2370              -228.66
2380              -450.68
2390              -382.88
2400              -179.86
2410              -324.62
2420              -305.60
2430              -184.74
2440              -114.88
2450              -239.24
2460              -187.94
2470              -290.46
2480              -222.48
2490              -366.58
2500              -261.14
2510              -334.94
2520              -292.40
2530              -71.16
2540              -310.34
2550              -163.14
2560              -455.42
2570              -297.74
2580              131.16
2590              -421.32
2600              -41.18
2610              -160.16
2620              -258.00
2630              -302.06
2640              -271.78
2650              -74.98
2660              -279.98
2670              -96.22
2680              -308.28
2690              -227.62
2700              -201.22
2710              -145.84
2720              -361.84
2730              -117.22
2740              -180.82
2750              -259.84
2760              -4.50
2770              -160.26
2780              -143.64
2790              -237.92
2800              -155.24
2810              -265.94
2820              -154.90
2830              -245.40
2840              -104.10
2850              -50.82
2860              -72.58
2870              -118.46
2880              -292.40
2890              -395.00
2900              17.80
2910              -187.28
2920              -67.02
2930              -388.48
2940              49.86
2950              -46.58
2960              -117.48
2970              -190.06
2980              -550.52
2990              36.00
3000              -207.52
3010              -350.46
3020              -256.54
3030              -151.06
3040              -30.12
3050              -569.42
3060              -237.76
3070              -109.54
3080              -157.88
3090              -155.36
3100              -88.16
3110              23.82
3120              -260.92
3130              -358.20
3140              -146.48
3150              -438.26
3160              -155.70
3170              -288.46
3180              -9.26
3190              -32.64
3200              -319.96
3210              -178.06
3220              -84.56
3230              -513.98
3240              -399.82
3250              -241.06
3260              -484.58
3270              -319.92
3280              -339.70
3290              -309.94
3300              -319.96
3310              -204.36
3320              -124.14
3330              -343.12
3340              -281.14
3350              -6.88
3360              -121.96
3370              -205.84
3380              -57.26
3390              -141.32
3400              -83.96
3410              -159.36
3420              -258.66
3430              -60.62
3440              -220.02
3450              -90.10
3460              -258.20
3470              -346.14
3480              -166.44
3490              -344.82
3500              -194.80
3510              -295.32
3520              50.22
3530              -322.48
3540              -332.92
3550              -459.32
3560              -72.06
3570              -311.00
3580              -321.98
3590              -303.84
3600              14.20
3610              -176.04
3620              -34.18
3630              -265.92
3640              -373.74
3650              -223.74
3660              -268.60
3670              -561.64
3680              -205.96
3690              -171.62
3700              42.02
3710              -252.14
3720              98.82
3730              -66.14
3740              -282.86
3750              -241.14
3760              298.52
3770              1.98
3780              -334.94
3790              -344.84
3800              -47.58
3810              -400.46
3820              -183.78
3830              -235.68
3840              -166.06
3850              -186.00
3860              -141.14
3870              -163.92
3880              -268.60
3890              35.74
3900              -480.20
3910              -467.00
3920              -215.30
3930              -199.18
3940              -571.02
3950              -132.84
3960              35.06
3970              -241.84
3980              -300.92
3990              -112.62
4000              -546.10
4010              -315.00
4020              -231.50
4030              -243.58
4040              -23.46
4050              -154.92
4060              -124.86
4070              -325.24
4080              -211.12
4090              -265.12
4100              -162.12
4110              -54.26
4120              -338.94
4130              -342.76
4140              -21.98
4150              -8.02
4160              -120.92
4170              -313.24
4180              -221.30
4190              -311.68
4200              -230.30
4210              -278.76
4220              -250.00
4230              -520.38
4240              -174.20
4250              -289.14
4260              -333.94
4270              -259.42
4280              -397.14
4290              -283.48
4300              -259.10
4310              -420.62
4320              32.74
4330              -91.60
4340              -382.00
4350              -392.60
4360              -275.30
4370              -243.02
4380              -414.28
4390              -170.22
4400              -165.70
4410              -12.18
4420              -242.90
4430              -125.84
4440              229.50
4450              -198.84
4460              -451.42
4470              -392.96
4480              -348.70
4490              -351.48
4500              -143.46
4510              -478.96
4520              -306.62
4530              -277.30
4540              180.80
4550              -98.40
4560              -299.64
4570              -528.94
4580              -115.38
4590              -110.86
4600              -297.02
4610              -125.10
4620              14.78
4630              -238.62
4640              -51.86
4650              -229.72
4660              191.56
4670              -130.56
4680              -287.36
4690              -401.16
4700              -254.16
4710              -277.38
4720              11.58
4730              -191.76
4740              -97.20
4750              -141.62
4760              -373.52
4770              -285.98
4780              -237.10
4790              -364.28
4800              -223.32
4810              -347.76
4820              -102.70
4830              -236.98
4840              -125.42
4850              -160.70
4860              -268.24
4870              -195.98
4880              50.58
4890              -23.24
4900              -281.26
4910              -122.50
4920              -293.38
4930              -213.80
4940              -277.76
4950              -38.28
4960              9.88
4970              -341.38
4980              -261.02
4990              1.78
5000              -384.74
5010              -340.00
5020              -369.80
5030              -449.00
5040              36.18
5050              -234.48
5060              -98.96
5070              -109.18
5080              -116.08
5090              -216.92
5100              -284.76
5110              -334.08
5120              64.26
5130              -436.78
5140              -132.94
5150              -91.94
5160              -108.94
5170              -143.80
5180              -41.54
5190              -399.56
5200              77.28
5210              45.04
5220              -193.62
5230              -56.60
5240              -124.78
5250              138.90
5260              -237.34
5270              -227.12
5280              -313.42
5290              -351.26
5300              133.90
5310              -149.92
5320              -143.64
5330              -75.28
5340              -321.20
5350              -280.46
5360              -311.20
5370              -5.94
5380              -31.84
5390              -261.38
5400              -12.50
5410              -156.64
5420              -157.38
5430              -308.02
5440              -310.08
5450              -165.60
5460              -305.58
5470              -209.46
5480              -199.56
5490              -256.46
5500              -338.00
5510              -383.92
5520              -210.52
5530              -219.56
5540              -300.96
5550              -435.04
5560              -298.30
5570              -184.98
5580              -273.82
5590              -24.70
5600              -299.86
5610              -219.68
5620              -359.50
5630              -34.34
5640              -62.38
5650              -36.86
5660              -38.16
5670              -328.78
5680              -149.42
5690              -265.38
5700              -160.38
5710              -193.70
5720              -131.94
5730              -133.68
5740              -232.52
5750              -330.86
5760              -218.28
5770              -304.48
